字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
性价比,玩,0.633,又带孩子来这里玩啦,0.999815,0.00018472,0.999589,2
性价比,玩,0.633,这次玩的很开心,0.999941,5.94665e-05,0.999868,2
性价比,玩,0.633,玩乐一整天,0.967858,0.0321424,0.928572,2
性价比,玩,0.633,玩得不亦乐乎,0.998682,0.00131815,0.997071,2
性价比,玩,0.633,又带孩子来这里玩啦,0.999815,0.00018472,0.999589,2
性价比,玩,0.633,这次玩的很开心,0.999941,5.94666e-05,0.999868,2
性价比,玩,0.633,玩乐一整天,0.967858,0.0321424,0.928572,2
性价比,玩,0.633,玩得不亦乐乎,0.998682,0.00131815,0.997071,2
性价比,玩乐,0.631,玩乐一整天,0.967858,0.0321424,0.928572,2
性价比,玩得,0.658,玩得不亦乐乎,0.998682,0.00131815,0.997071,2
性价比,游玩,0.614,夜泊秦淮是游玩夫子庙最好的项目,0.997016,0.00298392,0.993369,2
环境和景观,夜景,0.619,夜景还行,0.81641,0.18359,0.592022,2
设施和服务,消费,0.62,消费,0.67651,0.32349,0.281133,2
设施和服务,服务,0.622,服务待客,0.307199,0.6928,0.317334,0
性价比,游玩,0.614,游玩也很ok,0.999769,0.00023083,0.999487,2
性价比,票价,0.677,值回票价,0.988486,0.0115137,0.974414,2
文化和历史价值,公园,0.555,开国功臣徐达的私家花园现为白鹭洲公园,0.97698,0.0230204,0.948843,2
文化和历史价值,历史,0.647,于历史的文化名河中,0.988461,0.0115387,0.974358,2
文化和历史价值,历史,0.647,非常之有历史情怀,0.999856,0.000144172,0.99968,2
性价比,免费,0.624,有定时免费的导游讲解,0.991837,0.00816343,0.981859,2
环境和景观,治理,0.638,啥情况？潜规则呗？恶心不？秦淮河的水该治理一下了,3.18605e-05,0.999968,0.999929,0
性价比,认知,0.658,颠覆了我的认知,0.996812,0.00318775,0.992916,2
文化和历史价值,历史,0.647,有悠久的历史,0.997042,0.00295804,0.993427,2
文化和历史价值,历史,0.647,因为每走一步就是一段历史一段传说,0.997801,0.00219903,0.995113,2
文化和历史价值,历史,0.647,都是一段段历史与传说,0.986176,0.0138243,0.96928,2
文化和历史价值,历史,0.647,有悠久的历史,0.997042,0.00295804,0.993427,2
文化和历史价值,历史,0.647,因为每走一步就是一段历史一段传说,0.997801,0.00219903,0.995113,2
文化和历史价值,历史,0.647,都是一段段历史与传说,0.986176,0.0138243,0.96928,2
文化和历史价值,历史,0.647,有悠久的历史,0.997042,0.00295804,0.993427,2
文化和历史价值,历史,0.647,因为每走一步就是一段历史一段传说,0.997801,0.00219903,0.995113,2
文化和历史价值,历史,0.647,都是一段段历史与传说,0.986176,0.0138243,0.96928,2
环境和景观,夜景,0.619,只为那美丽的夜景和醉人的秦淮故事,0.999791,0.000208916,0.999536,2
性价比,游玩,0.614,去南京游玩一定要去秦淮河夫子庙看一看,0.998939,0.00106105,0.997642,2
设施和服务,商品,0.89,白天商品玲琅满目,0.946819,0.0531812,0.881819,2
性价比,玩,0.633,去南京游玩一定要去秦淮河夫子庙看一看,0.998939,0.00106105,0.997642,2
性价比,玩,0.633,是玩,0.969362,0.0306377,0.931916,2
文化和历史价值,历史,0.647,历史名城,0.996105,0.00389487,0.991345,2
环境和景观,文化底蕴,0.619,文化底蕴深厚,0.99907,0.00093004,0.997933,2
环境和景观,夜景,0.619,晚上的夜景还是很不错,0.99412,0.00588037,0.986933,2
性价比,量,0.588,量还是挺多的,0.941861,0.0581393,0.870802,2
环境和景观,文物古迹,0.611,串联起众多全国重点文物保护单位和文物古迹,0.99155,0.00844961,0.981223,2
环境和景观,夜景,0.619,夜景很美,0.999893,0.000106615,0.999763,2
文化和历史价值,历史,0.647,被称为“中国第一历史文化长河”,0.988494,0.0115056,0.974432,2
文化和历史价值,文化中心,0.564,夫子庙更是南京自古以来的文化中心,0.982315,0.0176853,0.960699,2
性价比,接,0.586,小店一个接一个,0.550645,0.449355,0.00143316,2
设施和服务,差异化,0.625,但差异化不算很大,0.390075,0.609925,0.133166,0
性价比,性价比,1.0,那真是性价比极低,0.000189308,0.999811,0.999579,0
性价比,价格,0.724,但价格高的却不是一星半点,0.00479468,0.995205,0.989345,0
性价比,感受,0.66,现在年纪大了突然觉得也是时候感受下出名的景点,0.952199,0.0478012,0.893775,2
文化和历史价值,商业,0.556,总觉得这样的商业运作,0.706714,0.293286,0.348253,2
文化和历史价值,历史,0.647,细细领略那晃荡着蔷薇色的历史秦淮河的滋味,0.999805,0.000194564,0.999568,2
文化和历史价值,历史,0.647,坠入历史的梦幻之中,0.999656,0.000343885,0.999236,2
文化和历史价值,历史,0.647,细细领略那晃荡着蔷薇色的历史秦淮河的滋味,0.999805,0.000194564,0.999568,2
文化和历史价值,历史,0.647,坠入历史的梦幻之中,0.999656,0.000343885,0.999236,2
环境和景观,夜景,0.619,所以第一次领略了秦淮河的夜景风光,0.99945,0.000550142,0.998777,2
环境和景观,夜景,0.619,夜景还是很漂亮的,0.999117,0.000883291,0.998037,2
环境和景观,夜景,0.619,所以第一次领略了秦淮河的夜景风光,0.99945,0.000550142,0.998777,2
环境和景观,夜景,0.619,夜景还是很漂亮的,0.999117,0.000883291,0.998037,2
环境和景观,夜景,0.619,夫子庙最美的大抵是夜景了,0.999539,0.000461361,0.998975,2
性价比,用水,0.618,走在刚刚用水清洗过的街面上,0.707036,0.292964,0.348969,2
性价比,优惠,0.682,不过除了在网上购买优惠联票,0.895434,0.104566,0.76763,2
性价比,价格,0.724,价格亲民,0.999556,0.000443938,0.999013,2
性价比,性价比,1.0,30元的门票性价比不高,0.0418592,0.958141,0.90698,0
性价比,便宜,0.689,鸭油烧饼味道不错还便宜,0.594816,0.405184,0.0995918,2
性价比,游玩,0.614,比较适合在晚上去游玩,0.991721,0.00827922,0.981602,2
设施和服务,消费,0.62,主要还是消费为主,0.774548,0.225452,0.498996,2
性价比,物价,0.669,物价高,0.00987792,0.990122,0.978049,0
性价比,玩玩,0.634,玩玩还是可以的啊,0.988995,0.0110048,0.975545,2
性价比,游玩,0.614,可游玩地方很多,0.987304,0.012696,0.971787,2
设施和服务,设施,0.621,周边配套设施一应俱全,0.989434,0.0105661,0.97652,2
性价比,游玩,0.614,晚上去游玩灯光效果非常的棒棒的哟,0.999925,7.52588e-05,0.999833,2
性价比,性价比,1.0,性价比不高,0.00108894,0.998911,0.99758,0
性价比,玩,0.633,真的是太值得来玩啦,0.999852,0.000147546,0.999672,2
性价比,玩,0.633,值得游玩,0.999276,0.000723712,0.998392,2
环境和景观,人文,0.611,不仅有人文建筑景观,0.992002,0.00799752,0.982228,2
环境和景观,景观,0.615,不仅有人文建筑景观,0.992002,0.00799753,0.982228,2
性价比,游玩,0.614,值得游玩,0.999276,0.000723712,0.998392,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,夜景超美,0.999949,5.09394e-05,0.999887,2
性价比,几分,0.633,但是她的美多了几分柔美,0.998705,0.00129488,0.997122,2
性价比,几分,0.633,就会越大的多了几分不一样的韵味,0.998891,0.00110931,0.997535,2
文化和历史价值,历史,0.647,那些动听的历史故事,0.989776,0.0102235,0.977281,2
性价比,几分,0.633,但是她的美多了几分柔美,0.998705,0.00129488,0.997122,2
性价比,几分,0.633,就会越大的多了几分不一样的韵味,0.998891,0.00110931,0.997535,2
性价比,感受,0.66,感受秦淮特色小吃,0.984921,0.0150794,0.96649,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,品味其中的历史沉淀和人文气息,0.999247,0.000753122,0.998326,2
环境和景观,人文,0.611,品味其中的历史沉淀和人文气息,0.999247,0.000753121,0.998326,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
设施和服务,平台,0.625,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
性价比,性价比,1.0,比我之前在其他平台上买的性价比更高,0.997881,0.00211858,0.995292,2
文化和历史价值,历史,0.647,金陵历史人文荟萃之地,0.994509,0.00549075,0.987798,2
环境和景观,夜景,0.619,坐上船沿秦淮河游览一圈看看夜景,0.99679,0.00321009,0.992867,2
环境和景观,文物古迹,0.611,有文物古迹,0.9839,0.0160995,0.964223,2
性价比,免费,0.624,一处免费开放的景点,0.994411,0.00558914,0.98758,2
性价比,游玩,0.614,到南京必去游玩之处,0.99856,0.00144039,0.996799,2
文化和历史价值,历史,0.647,秦淮河传递的南京历史,0.998758,0.00124246,0.997239,2
环境和景观,夜景,0.619,最好夜晚看看南京夜景,0.987645,0.0123549,0.972545,2
性价比,感受,0.66,感受江南景色的优雅和文化底蕴,0.999745,0.000254812,0.999434,2
环境和景观,文化底蕴,0.619,感受江南景色的优雅和文化底蕴,0.999745,0.000254813,0.999434,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
环境和景观,环境,0.621,环境好交通便利,0.998195,0.00180505,0.995989,2
性价比,价廉物美,0.705,品种繁多价廉物美摆放有序挑选便利,0.992925,0.00707539,0.984277,2
设施和服务,热情周到,0.63,工作人员热情周到值得大家去游玩,0.999335,0.000665371,0.998521,2
性价比,游玩,0.614,工作人员热情周到值得大家去游玩,0.999335,0.000665371,0.998521,2
性价比,感受,0.66,感受六朝古都的魅力,0.999953,4.69639e-05,0.999896,2
性价比,性价比,1.0,性价比超高,0.999914,8.5547e-05,0.99981,2
环境和景观,夜景,0.619,日景夜景都能看到,0.998589,0.00141147,0.996863,2
文化和历史价值,娱乐,0.567,娱乐休闲感比较赞,0.99974,0.000259952,0.999422,2
文化和历史价值,休闲,0.558,娱乐休闲感比较赞,0.99974,0.000259952,0.999422,2
文化和历史价值,休闲,0.558,比较适合忙碌后的休闲,0.991306,0.00869354,0.980681,2
文化和历史价值,休闲,0.558,娱乐休闲感比较赞,0.99974,0.000259952,0.999422,2
文化和历史价值,休闲,0.558,比较适合忙碌后的休闲,0.991306,0.00869354,0.980681,2
性价比,游玩,0.614,非常适合外地游客游玩,0.999232,0.000767788,0.998294,2
环境和景观,夜景,0.619,特别是夜景,0.998317,0.0016832,0.99626,2
性价比,无比,0.621,真是心情无比高兴,0.991744,0.00825622,0.981653,2
文化和历史价值,历史,0.647,秦淮河是中国第一历史文化名河,0.996789,0.0032111,0.992864,2
环境和景观,夜景,0.619,夜景灯光也不错,0.999837,0.000163393,0.999637,2
文化和历史价值,历史,0.647,乌衣巷等有着悠久历史底蕴的打卡点,0.957872,0.0421284,0.906381,2
环境和景观,夜景,0.619,尤其是夜景的灯光水影,0.984472,0.0155284,0.965493,2
环境和景观,夜景,0.619,夜景非常不错,0.999745,0.000255281,0.999433,2
性价比,玩,0.633,下次再来玩,0.999863,0.000137483,0.999695,2
文化和历史价值,历史,0.647,以及庙宇学堂等众多的文化历史古迹,0.98389,0.0161095,0.964201,2
环境和景观,古迹,0.61,以及庙宇学堂等众多的文化历史古迹,0.98389,0.0161095,0.964201,2
文化和历史价值,历史,0.647,而且有历史的积淀和文化的品味,0.99931,0.000689918,0.998467,2
文化和历史价值,历史,0.647,听着在此发生的历史故事,0.997643,0.00235692,0.994762,2
文化和历史价值,历史,0.647,而且有历史的积淀和文化的品味,0.99931,0.000689918,0.998467,2
文化和历史价值,历史,0.647,听着在此发生的历史故事,0.997643,0.00235692,0.994762,2
环境和景观,文物古迹,0.611,串连其众多全国文物保护单位和文物古迹,0.943016,0.0569836,0.87337,2
环境和景观,人文,0.611,无论是景色还是人文,0.968542,0.0314579,0.930094,2
性价比,价格,0.724,价格在市区中不算贵,0.968163,0.0318366,0.929252,2
设施和服务,住宿,0.623,住宿的环境,0.980626,0.0193739,0.956947,2
环境和景观,环境,0.621,住宿的环境,0.980626,0.0193739,0.956947,2
环境和景观,卫生,0.62,卫生等比同价的快捷酒店好多了,0.747042,0.252958,0.437872,2
性价比,同价,0.662,卫生等比同价的快捷酒店好多了,0.747042,0.252958,0.437872,2
设施和服务,服务态度,0.621,服务态度规范,0.889807,0.110193,0.755126,2
性价比,服务态度,0.573,服务态度规范,0.889807,0.110193,0.755126,2
性价比,游玩,0.614,基本上每个过来南京游玩的人都会过来这边看一看,0.999783,0.00021696,0.999518,2
环境和景观,夜景,0.619,这边的夜景非常的漂漂亮,0.993976,0.00602441,0.986613,2
环境和景观,卫生,0.62,干净卫生,0.997482,0.00251774,0.994405,2
文化和历史价值,历史,0.647,很多景区都不去夫子庙附近的历史厚重,0.767139,0.232861,0.482532,2
文化和历史价值,历史,0.647,在这里不仅能看到古都南京的历史建筑,0.997693,0.00230699,0.994873,2
性价比,价格,0.724,客栈或者民宿价格都比较高,0.886779,0.113221,0.748397,2
环境和景观,夜景,0.619,不过夜景还是非常非常漂亮的,0.995093,0.00490692,0.989096,2
环境和景观,景观,0.615,是一条尽显六朝古都风光的景观河,0.998389,0.00161123,0.996419,2
性价比,感受到,0.6,更能让人感受到朱自清笔下的《浆声灯影里的秦淮河》之韵味,0.999742,0.000258129,0.999426,2
文化和历史价值,公园,0.555,白鹭洲公园,0.928625,0.0713747,0.84139,2
文化和历史价值,历史,0.647,瞻园等历史景点,0.984982,0.0150178,0.966627,2
环境和景观,卫生,0.62,但是现在卫生等条件有个志的改观,0.185779,0.814221,0.587158,0
文化和历史价值,休闲,0.558,夫子庙是个休闲娱乐的好去处,0.999133,0.000867019,0.998073,2
文化和历史价值,娱乐,0.567,夫子庙是个休闲娱乐的好去处,0.999133,0.000867019,0.998073,2
文化和历史价值,历史,0.647,兴许能找到一些历史的痕迹,0.984001,0.015999,0.964446,2
性价比,玩,0.633,夫子庙很适合带小朋友来玩,0.999399,0.000600967,0.998664,2
文化和历史价值,历史,0.647,游历史,0.998417,0.0015827,0.996483,2
环境和景观,人文,0.611,人文,0.988334,0.0116661,0.974075,2
性价比,感受,0.66,感受氛围,0.99894,0.00106015,0.997644,2
性价比,感受,0.66,感受风土人情也是好的,0.999426,0.00057408,0.998724,2
性价比,感受,0.66,感受氛围,0.99894,0.00106015,0.997644,2
性价比,感受,0.66,感受风土人情也是好的,0.999426,0.000574081,0.998724,2
文化和历史价值,历史,0.647,是有非常悠久历史的,0.992031,0.0079691,0.982291,2
环境和景观,夜景,0.619,夜景灯光非常漂亮,0.999951,4.86598e-05,0.999892,2
文化和历史价值,历史,0.647,既有历史人文,0.986976,0.0130243,0.971057,2
文化和历史价值,历史,0.647,了解科举历史,0.997761,0.00223926,0.995024,2
环境和景观,人文,0.611,既有历史人文,0.986976,0.0130243,0.971057,2
文化和历史价值,历史,0.647,既有历史人文,0.986976,0.0130243,0.971057,2
文化和历史价值,历史,0.647,了解科举历史,0.997761,0.00223925,0.995024,2
设施和服务,服务态度,0.621,全程惊喜连连很满意这样的服务态度,0.99941,0.000590266,0.998688,2
性价比,服务态度,0.573,全程惊喜连连很满意这样的服务态度,0.99941,0.000590266,0.998688,2
文化和历史价值,历史,0.647,已经饱经近现代的历史沧桑,0.990665,0.00933521,0.979255,2
性价比,价,0.707,完全不值这个价,3.25453e-05,0.999968,0.999928,0
环境和景观,夜景,0.619,秦淮河的夜景灯光非常漂亮,0.999963,3.7223e-05,0.999917,2
设施和服务,服务,0.622,服务人员态度都非常好,0.996593,0.0034067,0.99243,2
性价比,价位,0.761,这个价位能品尝到这种品质的食物,0.730761,0.269239,0.401692,2
性价比,品质,0.633,这个价位能品尝到这种品质的食物,0.730761,0.269239,0.401692,2
环境和景观,夜景,0.619,夜景灯光非常漂亮,0.999951,4.86598e-05,0.999892,2
环境和景观,环境,0.621,环境优雅,0.998861,0.00113866,0.99747,2
设施和服务,服务态度,0.621,很满意这样的服务态度,0.998201,0.00179943,0.996001,2
性价比,服务态度,0.573,很满意这样的服务态度,0.998201,0.00179943,0.996001,2
文化和历史价值,休闲,0.558,游乐休闲项目众多,0.988393,0.0116065,0.974208,2
文化和历史价值,商业,0.556,商业氛围不错,0.998256,0.00174381,0.996125,2
环境和景观,景观,0.615,时至今日仍然是南京城最热闹的旅游景观地,0.980854,0.0191461,0.957453,2
性价比,感受,0.66,可以感受昔日金陵的繁华气象,0.999691,0.000309114,0.999313,2
环境和景观,气象,0.622,可以感受昔日金陵的繁华气象,0.999691,0.000309114,0.999313,2
环境和景观,环境优美,0.622,环境优美景色宜人,0.994868,0.00513231,0.988595,2
文化和历史价值,历史,0.647,很有历史文化底蕴,0.999819,0.000181247,0.999597,2
环境和景观,文化底蕴,0.619,很有历史文化底蕴,0.999819,0.000181247,0.999597,2
性价比,接地气,0.584,非常接地气,0.999734,0.0002657,0.999409,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,也是南京历史发展的见证,0.998401,0.00159935,0.996446,2
环境和景观,文物古迹,0.611,串联起众多全国重点文物保护单位和文物古迹,0.99155,0.00844961,0.981223,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,太多历史痕迹,0.160242,0.839758,0.643906,0
性价比,玩,0.633,值得来玩,0.999742,0.00025835,0.999426,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
文化和历史价值,历史,0.647,太多历史痕迹,0.160242,0.839758,0.643906,0
性价比,玩,0.633,值得来玩,0.999742,0.000258349,0.999426,2
文化和历史价值,历史,0.647,金陵历史人文荟萃之地,0.994509,0.00549075,0.987798,2
文化和历史价值,历史,0.647,寻历史遗迹,0.980831,0.0191691,0.957402,2
文化和历史价值,历史,0.647,你会迫不及待想了解六朝古都的悠久历史,0.989228,0.0107723,0.976062,2
文化和历史价值,历史,0.647,寻历史遗迹,0.980831,0.0191691,0.957402,2
文化和历史价值,历史,0.647,你会迫不及待想了解六朝古都的悠久历史,0.989228,0.0107723,0.976062,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,环境,0.621,环境特别不错,0.998603,0.0013968,0.996896,2
环境和景观,环境,0.621,是周围环境最好的了,0.983795,0.0162046,0.96399,2
环境和景观,周围环境,0.622,是周围环境最好的了,0.983795,0.0162046,0.96399,2
性价比,性价比,1.0,性价比非常高,0.999925,7.48652e-05,0.999834,2
性价比,游玩,0.614,到南京来游玩的人应该没有人不去夫子庙,0.585121,0.414879,0.0780458,2
环境和景观,人文,0.611,有人文,0.982392,0.0176079,0.960871,2
文化和历史价值,历史,0.647,历史还有吃喝玩乐,0.995598,0.00440194,0.990218,2
环境和景观,环境,0.621,酒店环境不错,0.999621,0.000378701,0.999159,2
性价比,价格,0.724,价格9也不贵,0.988073,0.0119274,0.973495,2
设施和服务,服务,0.622,店里服务也比较好以后来了这边还会再次入住的,0.999863,0.000137251,0.999695,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,南京夫子庙秦淮夜景是非常漂亮的,0.99942,0.000579853,0.998711,2
性价比,玩,0.633,所有到南京的人都会到夫子庙去玩,0.997785,0.00221489,0.995078,2
文化和历史价值,历史,0.647,一天非常有历史的河流,0.998498,0.00150184,0.996663,2
性价比,免费,0.624,夫子庙秦淮河观光带是免费的,0.994567,0.00543261,0.987928,2
环境和景观,夜景,0.619,晚上去看夜景还是不错的,0.992803,0.00719675,0.984007,2
环境和景观,名胜,0.615,夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.967247,0.0327532,0.927215,2
环境和景观,景观,0.615,夫子庙被誉为秦淮名胜而成为古都南京的特色景观区,0.967247,0.0327532,0.927215,2
环境和景观,文物古迹,0.611,串联起众多全国重点文物保护单位和文物古迹,0.99155,0.0084496,0.981223,2
文化和历史价值,历史,0.647,也是南京千年历史繁荣之地,0.998746,0.00125355,0.997214,2
设施和服务,设施,0.621,设施齐全环境不错,0.998141,0.00185939,0.995868,2
环境和景观,环境,0.621,设施齐全环境不错,0.998141,0.00185939,0.995868,2
设施和服务,服务,0.622,服务热情性价比很高,0.99917,0.000830354,0.998155,2
性价比,性价比,1.0,服务热情性价比很高,0.99917,0.000830354,0.998155,2
环境和景观,夜景,0.619,秦淮河夜景很美,0.999937,6.28265e-05,0.99986,2
设施和服务,设施,0.621,设施齐全环境不错,0.998141,0.00185939,0.995868,2
环境和景观,环境,0.621,设施齐全环境不错,0.998141,0.00185939,0.995868,2
设施和服务,服务,0.622,服务热情性价比很高,0.99917,0.000830354,0.998155,2
性价比,性价比,1.0,服务热情性价比很高,0.99917,0.000830356,0.998155,2
性价比,玩,0.633,有玩,0.991998,0.00800228,0.982217,2
环境和景观,夜景,0.619,夜景还可以,0.830805,0.169196,0.62401,2
性价比,性价比,1.0,性价比高,0.999885,0.000115398,0.999744,2
环境和景观,文化底蕴,0.619,夫子庙秦淮河有着悠久的文化底蕴和中国特色,0.996884,0.00311588,0.993076,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,夜景尤其吸引人,0.999285,0.000715189,0.998411,2
文化和历史价值,历史,0.647,历史文化底蕴深厚,0.999308,0.000691936,0.998462,2
环境和景观,文化底蕴,0.619,历史文化底蕴深厚,0.999308,0.000691936,0.998462,2
性价比,趣味性,0.726,趣味性强,0.998274,0.001726,0.996164,2
性价比,性价比,1.0,性价比超高,0.999914,8.55471e-05,0.99981,2
环境和景观,环境,0.621,环境非常不错,0.999449,0.000550729,0.998776,2
环境和景观,夜景,0.619,夜景美不胜收,0.999723,0.000276857,0.999385,2
环境和景观,夜景,0.619,观着夜景,0.998304,0.00169645,0.99623,2
环境和景观,夜景,0.619,夜景美不胜收,0.999723,0.000276857,0.999385,2
环境和景观,夜景,0.619,观着夜景,0.998304,0.00169645,0.99623,2
环境和景观,治理,0.638,秦淮河经过多年治理,0.980694,0.019306,0.957098,2
性价比,玩玩,0.634,一定要过去玩玩,0.999772,0.000227943,0.999493,2
环境和景观,夜景,0.619,"晚上夜景很美
",0.999854,0.000145868,0.999676,2
设施和服务,汉服,0.638,"汉服出行
",0.995266,0.0047344,0.989479,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
环境和景观,夜景,0.619,好好去看看夜景,0.999657,0.000342789,0.999238,2
性价比,感受,0.66,还可以感受历史的韵味,0.995974,0.0040262,0.991053,2
文化和历史价值,历史,0.647,还可以感受历史的韵味,0.995974,0.00402621,0.991053,2
性价比,玩耍,0.603,玩耍,0.988893,0.0111066,0.975319,2
设施和服务,服务,0.622,很开心服务很好很满意很开心服务很好吃火锅剩的牛肉面馆陶,0.999666,0.000333997,0.999258,2
设施和服务,服务,0.622,很开心服务很好很满意很开心服务很好吃火锅剩的牛肉面馆陶,0.999666,0.000333997,0.999258,2
文化和历史价值,商业,0.556,商业气息有些浓,0.10537,0.89463,0.765844,0
性价比,物价,0.669,物价偏高,0.00268683,0.997313,0.994029,0
环境和景观,人文景观,0.612,还是能看到一些人文景观的再现,0.881877,0.118123,0.737505,2
环境和景观,夜景,0.619,晚上的夜景就更不用说了,0.997099,0.00290107,0.993553,2
文化和历史价值,历史,0.647,金陵历史人文荟萃之地,0.994509,0.00549075,0.987798,2
环境和景观,文物古迹,0.611,串联起众多全国重点文物保护单位和文物古迹,0.99155,0.0084496,0.981223,2
文化和历史价值,历史,0.647,是南京历史文化荟萃之地,0.998423,0.00157735,0.996495,2
性价比,而成,0.617,由东晋学宫扩建而成,0.958468,0.0415324,0.907706,2
性价比,而成,0.617,江南贡院荟萃而成,0.969171,0.0308291,0.931491,2
性价比,而成,0.617,由东晋学宫扩建而成,0.958468,0.0415324,0.907706,2
性价比,而成,0.617,江南贡院荟萃而成,0.969171,0.0308291,0.931491,2
性价比,标志性,0.65,是秦淮河畔的标志性建筑,0.998101,0.00189871,0.995781,2
文化和历史价值,商业,0.556,这些年也逐步已从原来的古朴陈旧沧桑中变得繁华与商业,0.995774,0.00422597,0.990609,2
文化和历史价值,历史,0.647,但这里毕竟孕育出太多的人物历史文化,0.991213,0.0087871,0.980473,2
环境和景观,文物古迹,0.611,这里不仅有明城墙等文物古迹,0.996205,0.00379537,0.991566,2
文化和历史价值,历史,0.647,不仅是南京历史文化荟萃之地,0.998985,0.00101524,0.997744,2
性价比,玩,0.633,玩不起来,0.0175687,0.982431,0.960958,0
环境和景观,人文景观,0.612,和人文景观设计理念结合实际行动表示十分满意,0.999738,0.000261654,0.999418,2
环境和景观,夜景,0.619,夜景也非常不错,0.99994,5.9983e-05,0.999867,2
性价比,游玩,0.614,可游玩之处很多,0.991839,0.00816062,0.981865,2
文化和历史价值,历史,0.647,有历史建筑,0.9916,0.00839993,0.981334,2
性价比,性价比,1.0,性价比,0.998039,0.00196075,0.995643,2
性价比,玩玩,0.634,吃吃玩玩,0.989631,0.0103695,0.976957,2
性价比,玩,0.633,一般人不会玩就去看看,0.637437,0.362563,0.194305,2
性价比,游玩,0.614,可游玩性相比较一些景点来说还是少了一些,0.950897,0.0491031,0.890882,2
性价比,性,0.692,可游玩性相比较一些景点来说还是少了一些,0.950897,0.0491031,0.890882,2
环境和景观,古迹,0.61,有很多很多古迹和风味小吃,0.972303,0.0276966,0.938452,2
文化和历史价值,商业,0.556,夫子庙秦淮河现在看商业开发太过了,0.747371,0.252629,0.438601,2
环境和景观,环境,0.621,环境很好,0.998906,0.00109376,0.997569,2
性价比,游玩,0.614,坐船游玩别有一番风味,0.999519,0.00048079,0.998932,2
环境和景观,人文,0.611,非常有人文气息的一个景点,0.999737,0.000262597,0.999416,2
文化和历史价值,历史,0.647,也有一定历史韵味,0.999414,0.000585617,0.998699,2
性价比,游玩,0.614,游玩南京毕打卡,0.990313,0.00968654,0.978474,2
环境和景观,环境,0.621,餐厅环境很安静,0.995093,0.00490715,0.989095,2
性价比,用心,0.639,因为布景非常用心,0.998609,0.00139114,0.996908,2
环境和景观,环境优美,0.622,"
其环境优美",0.998221,0.00177931,0.996046,2
设施和服务,平台,0.625,平台的优惠券也很划算,0.99988,0.000120145,0.999733,2
性价比,对照,0.619,颜色对照鲜明,0.946876,0.0531235,0.881948,2
文化和历史价值,商业,0.556,文化和商业于一体,0.989061,0.010939,0.975691,2
环境和景观,环境,0.621,环境干净整洁,0.996587,0.00341336,0.992415,2
文化和历史价值,休闲,0.558,值得休闲走一走,0.994725,0.00527508,0.988277,2
环境和景观,环境,0.621,环境干净整洁,0.996587,0.00341336,0.992415,2
