用户名,时间,内容,星级,点赞,,,
匿名用户,2023-09-0620:57,博物院第二天的行程，第一天和第二天的上午太累，第二天下午的博物院只逛了三个馆，还有2个没逛。下次有机会再来。,4,0, , , 
匿名用户,2023-09-0620:56,虽然很难预约，虽然6月底去的时候很多馆在重新装修，但是还是特别棒的一次体验，对于不同年龄段的小朋友有不同阶段的介绍版本，很细致，特别喜欢，在娃的心里种下了一颗小种子,5,0, , , 
野言,2023-09-0617:24," 2023博物馆之旅第8站。南博票难订我是知道的，但选择暑期尾声和国庆长假之间的缝隙出行，让我顺利在当天下午一点多订到免费票。精明的士佬不想调头，安排我在对面马路下车走地道，心下一沉！好在滑行道宽且缓，十分便利，并拍得爱图一张，心下一喜！队伍很长，移动很快，看到前面帆布包里晃啊晃啊的小fafa，觉得热爱生活真是一种能力。 馆内还是很多人，时间有限匆匆一瞥，留点遗憾下次再来。看到了镇院之宝，意满离。   		   ",5,3, , , 
CANDYBEAR82,2023-09-0616:10," 南京博物院六朝古都浓缩在此从远古时代到盛世江南总共有三大区域一是历史馆展示的是远古到盛世江南，所出土的物品，这个展览还是要借语音导览器讲解否则就只是看物品这些物品其实在江浙沪一带大型博物馆都有展出布置比这里精美。所以还是要借助讲解器才知道历史意义，从历史馆可以通到特展馆民国馆数字馆。说实话如果只是来打卡或者就是参观一下那么主馆历史馆6个展厅加上特展馆14，15展厅即可艺术馆都是字画除非你喜欢研究否则真看不懂。（进展之前先去服务中心拿一张纸质地图他把各个展厅的精华都标注了）   		   ",4,0, , , 
没吃了噶空,2023-09-0614:01," tips: ??如何预约：提前7天晚上6点小程序放号，暑假会卡下bug，但一般5分钟内都会有，我就是这样约到周六的门票的。 ??地址：玄武区中山东路321号。建议地铁前往，2号线明故宫步行大概10分钟。不要觉得离地铁站远，我个人觉得是最方便的一种出行方式了。 还有一个推荐就是住边上维景，步行2分钟。 ??讲解：馆内有电子讲解器，20一个，每个馆都有借，不要凑入口那个场馆排大队借。 历史馆和特展馆有人工讲解，一定要约人工讲解，机器就一个简单介绍，很无趣。人工讲解每天4场时间附给你们了，尽量选早上场，提前15分钟去排队，下午场提前到至少45分钟排队。老师讲解会挑选精品详细解说，这是靠看看不到的。 彩??部分：文创产品很赞，小贵，但绝对是最佳伴手礼。网上热度很高的几件文创产品会分布在不同的文创点，要慢慢搜，也要碰运气！ 镇院之宝是轮流展出的，想看齐只能多来几次了   		   ",4.5,2, , , 
不吃香菜的小橙子,2023-09-0611:29," 交通： 地铁坐1号线到明故宫站下车，走600米就到南京博物院了。 展览内容： 博物院内有很多馆，当天去的时候人特别多，所以先从艺术馆开始逛，艺术馆有民族服饰还有各代名人字迹山鸟鱼画，非常不错，从艺术馆可以通往其他馆内，青铜器，各类茶具，值得一看   		   ",4.5,0, , , 
回眸仔,2023-09-0610:30," 南京博物院，是国家级综合性历史艺术博物馆，也是中国三大博物馆之一，简称“南院”。 南院，是南京免费的博物馆，可预约按场次入馆，还是非常值得参观和推荐的场馆。它分为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。 南院的珍藏文物还是很震撼的，珍贵文物数量居中国第二。文物上至旧石器时代，下迄当代；既有全国性的，又有地域性的；既有宫廷传世品，又有考古发掘品，还有一部分来源于社会征集及捐赠，均为历朝历代的珍品佳作和备受国内外学术界瞩目的珍品，是数千年中华文明历史发展最为直接的见证。 该院周一闭馆，周二至周日开馆，时间:9:00—17:00，约4小时足够游览完。   		   ",4.5,3, , , 
做咩呀,2023-09-0601:45,"免费预约，如果需要语音讲解需要20或30元，看自己选择！馆比较大，大约要4个小时，有的馆会不开，
展览内容:文物比较多",3.5,0, , , 
青,2023-09-0520:38," 1关于约票： 亲测华为手机比苹果手机好约，基本一次就能约上，小伙伴们可以从打算去就开始约，每天6点开始放票，大家提前把人员添加好。 2开馆情况： 去之前打电话咨询清楚，有的展馆在装修，（据说10.3号民国馆开放了） 3相关联拍照地点 南京博物院和梧桐大道非常近，建议大家早上先去梧桐大道拍照，（早上人少车少且凉快，傍晚人山人海），拍照以后再去南京博物院，这样也能错开高峰 4关于吃饭 博物院内有餐厅，但是提前打电话问一下在不在营业，如果买餐厅的网红小吃一定要提前去排队，博物馆内自己也可以带饭进去。 5免费讲解 南博每天上午和下午都有免费的讲解，但是需要提前去服务台那里排队报名，只有30个名额（上午几点不知道，下午是2点，好多人不知道这个情况所以可以报上） 6存物品 大件的行李有专门寄存行李的地方，在进入博物馆之前（我记得在左手边）存，小件的东西，如果带的多，觉得沉，可以进入博物馆以后，顺着左手边，下坡（还是上坡的我忘记了）存在“6”这里的服务台（温馨提示：中途不能取出），所以吃的喝的自己拎着，我当时把多余的水壶遮阳伞都存了过去。解放双手，好拍照 7纪念品 我觉得挨着民国馆那个小店不错，开放式的我买了个包包，个人感觉不错 8拍照 大家可带衣服我是为了拍照，逛馆的时候穿了一身，大门口拍照的时候换了一身。红墙打卡地需要排队，大家提前想好姿势，找好角度 温馨提示如果有某件文物是你特别想看的，一定提前打电话咨询一下是否在馆展出。   		   ",2.5,0, , , 
饭饭爱吃饭饭,2023-09-0520:32," 暑假以后，博物院好约多了，趁着秋风渐起，我国三大博物院之一，南博走起。  交通： 地铁到明故宫，大约需要走10分钟才到。  馆是真的、超大。民国馆已经开放，适合拍照打卡。 馆内藏品不知凡几，青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、书画、印玺、碑刻造像等所有文物品类一应俱有，是数千年中华文明历史发展最为直接的见证。  每个年龄段都非常适合来打卡、长见识。   		   ",5,7, , , 
匿名用户,2023-09-0519:24," 交通： 建议地铁前往，交通方便。 展览内容： 展览馆非常多，展品丰富，如果要看详细一点，一天很难逛完。去一趟还是很值得的。 tips： 可以自备饮料和食物，休息区可以饮食，毕竟可能要逛一天呢~ 建议租讲解器，文字讲解不多，还是要靠讲解器呀~   		   ",4.5,0, , , 
菜菜,2023-09-0519:19,博物院非常大，不愧是三大博物院之一，名不虚传的，里面东西也非常多我们提前一个星期在微信上预约了，不然当天肯定约不到,5,0, , , 
Nick、rex卍,2023-09-0517:19,南京必去的博物院，好多好多超级好看的文创,5,0, , , 
一帆风顺_368486,2023-09-0516:38," 首先讲一下预约门票的问题，其实总的来说真的很好，预约完全不必要在门口买黄牛的票外地朋友最好预约到票了以后再前往，不然站在门口约真的很费事里面比较大，也非常值得去观赏，最重要的是一定要带上一本本子，因为里面有很多的纪念章   		   ",5,0, , , 
Hcy_2114,2023-09-0515:24,"不愧是点灯熬夜也要抢票的博物馆??
大门进游客中心还配有免费寄存，也可以人工寄存。
工作人员小姐姐特别暖心的帮忙。爱了爱了",5,1, , , 
冰唐葫芦,2023-09-0515:14," 【不推荐理由：】门票不好约，人工讲解难约且贵。  【民国馆：】哈哈哈，装修2个多月的民国馆在9.1正式对外开放了，你可以穿复古一点，主打一个拍照，也可以在里面租衣服拍照（就是有点贵）。  【历史馆：】不请讲解……压根看不懂！   		   ",4,0, , , 
Even是个温婉的女子,2023-09-0500:34," 都说人超多根本约不到票 实际也确实约不到 然而我9.2早上碰碰运气居然刷到了票  所以大家早上9点十点都可以定好闹钟刷一下当日票每个时间段好像会放500张真是运气爆棚 本准备退房之后买高铁票回了 刷到票之后改买了晚上八点的票 下午刷了博物院总统府吃吃逛逛玩足了一天   		   ",5,0, , , 
画画的尼尔,2023-09-0423:56," 第三次来南京博物院了，民国馆体验感还可以，里面是有真人在营业的，代入感比较强。傅抱石过世后，他的大部分作品也被收藏到了这里，专门有一个馆展出。镇馆之宝看到了金兽，挺震撼。唯一吐槽一下就是里面像是迷宫一样，总走回头路。   		   ",4.5,0, , , 
zpxiang19,2023-09-0423:35,"超预期，喜欢历史博物的，值得来一趟
人多早点预约",5,0, , , 
魔女,2023-09-0422:37," 提前一个星期约票，放票时间18:00。提前填好身份证号码和信息。定好闹钟一次成功。博物院面积很大。展品很丰富，所有展品都是成堆成片的出现。所有展馆为“文物”而建。建议大家参观同时带个讲解。值得二刷。解锁盖章乐趣。   		   ",4,0, , , 
匿名用户,2023-09-0421:33," 中国四大博物院之一，去南京，一定要去一趟南京博物院，免费的，就是比较难预约。 南京博物院有两层，分别从远古时代开始到中国现在的历史和展品。建议请个导游讲解下，或者租个讲解器。 这次比较遗憾的是，民国馆闭关维修，所以下次有机会，还是想去一次。   		   ",5,0, , , 
在黄金海岸跳跃的红烧肉,2023-09-0419:41," 南京博物院免费需要提前预约才能进去哦。  里面有历史馆 特展馆 艺术馆 数字馆 民国馆 半天也不定能逛完，快逛行建议时间充裕的话一天更好了，盖章的队伍实在是长，望而却步。  逛饿了顶楼有咖啡，披萨，意大利面等，吃好了，外面平台上眺望远外，再接着逛   		   ",4.5,0, , , 
小柒柒与项老大,2023-09-0419:19,"带着小朋友打卡～人超级多！
博物馆其实更适合一个人慢慢逛～慢慢看～慢慢感受文化的传承～",5,0, , , 
山上的橘猫,2023-09-0418:54," 来南京玩，朋友说一定要来看看南博 好像是当天早上抢的预约，就立马过来排队了，人真的挺多的，我们算来的比较早的都差不多排了一个小时，有个馆在装修没开，听本地朋友说那里可以喝茶，还有点小遗憾。 友情提示来逛一定要穿舒适的运动鞋，真的费??，差不多每个馆每层楼都去逛了一下，最爱的就是第一张的小粉了～人气也很高。 盖章不是最早排队的那批就别想了，每个队伍都长得让人望而生畏。   		   ",5,1, , , 
匿名用户,2023-09-0418:23," 南京博物院真的太火了，今年票超级超级难抢！！！ 早上各种刷新捡漏，才抢到一张票可以进去买文创！！！ 文创店人非常多，宫灯，莲花纹小金盘，还有金蝉玉叶冰箱贴非常好看，网红款小粉炉各种断货。 买了莲花纹小金盘冰箱贴，坤舆万国图，还有文创包，真的炒鸡开心，看了坤舆万国图，真的好厉害，各种大陆，海洋，动物，地图版山海经的感觉。 等暑假过去，人少了再去逛逛。   		   ",5,0, , , 
论斤吃毛肚,2023-09-0414:19," 周末人太多了 重点去看了特展馆，还有镇院之宝 哈哈，9100g的大金兽，愿大家都沾沾喜气。 南京博物院是中国三大博物馆之一，其前身是1933年蔡元培等倡建的国立中央博物院，是中国创建最早的博物馆，占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。   		   ",4.5,1, , , 
不懂你在笑什么,2023-09-0411:48," 南京博物院是一个值得一游的博物馆，南京博物院拥有各类藏品，珍贵文物数量居中国第二，仅次于故宫博物院。所以非常值得一去，人也十分的多，预约非常困难，但是手速快一点还可以约上，很多宝贝都外借了，比较遗憾！希望以后还有机会再去   		   ",5,0, , , 
钱大多儿,2023-09-0410:54," 没想到南京博物院的票真的很难买，基本上靠自己很难预约上，临时决定来更加抢不到票，就是闲鱼上花钱买，也不知道为啥？为什么南京的票都很难抢，全部都是门口黄牛在卖 里面还是满大，分了很多展馆，给小朋友买了一个讲解的，还是挺感兴趣的   		   ",4,5, , , 
陈醋卤鸡爪,2023-09-0410:48," 南京博物院必须点赞 整体大气，南院为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。全面展示了作为“六朝古都”南京、“吴越大地”深厚的历史，艺术、文化底蕴。展示了从“石器时代”至当代的，人文青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像等所有文物品类，一应俱有。每一品种又自成历史系列，是数千年中华文明历史发展最为直接的见证   		   ",4.5,0, , , 
shaka_6292,2023-09-0410:20," 不知道哪个高人想出来的一次预约只能进一个馆的高招，成功地减少了馆内参观人数，让许多千里迢迢赶来的旅客吃了闭门羹。工作人员全都抱着我们没办法是你自己的问题的工作态度，丝毫没有协商的余地。同一个时段就有许多旅客被坑，说明这已经是一个普遍现象，场馆方竟然能够继续坐视不理，如此傲慢生硬的管理方式，全国最差。   		   ",0.5,0, , , 
糯米煎大麦,2023-09-0409:17," 来南博看“不止于艺—威廉·莫里斯—工艺美术运动—作品展”。 南博不愧是国内一流的博物馆，展馆自多年前改造后，展示展陈结构布局得到进一步充实和完善，内容细节、服务管理的优化也更好的提升了观众的体验感获得感。 这次单看此专题展，收获不少，更加深了对“工艺美术运动”历史意义的认识，而且许多展品让人有了新的直观的感受、认识与“发现”。 暑假人多，预约不易。   		   ",4.5,27, , , 
A是帥姐啊,2023-09-0405:59," 大是真大啊，院子也大，展馆也大。 没点儿充足的时间和体力还真不行。 南京博物馆宝贝真的是很多，我们只是租了导览机跟着看就已经很慢了，逛到一半，就都感觉有些缺氧不舒服了，作罢作罢，赶紧出来呼吸新鲜空气要紧。   		   ",5,0, , , 
是鹤儿8,2023-09-0400:32,很大，收纳了很多展品，分很多个展厅。有时会有特色展。适合花5、6个小时仔细逛逛。,5,0, , , 
匿名用户,2023-09-0323:16," 几乎每一个馆我们都去了去之前就已经做好攻略啦提前预约了真的非常不错我们排队盖了很多好看的章我真的爱死了南京博物院不愧是六朝古都我真的去了好多好多次都不会腻真的超级喜欢南京博物院时间充裕的话可以花一整天的时间去逛   		   ",5,0, , , 
爱吃鱼的橘子,2023-09-0322:58,"走马观花
围绕金兽展开了一系列产品及数字馆",4.5,0, , , 
陶陶陶,2023-09-0322:10," ?南京最大的免费??博物馆，预约好，随时可以去打卡哦～以下是保姆级参观攻略，快收藏！ ??『南京博物院』号称“中国三大博物馆之一”，共设有5个馆：历史馆、数字馆、特展馆、艺术馆和民国馆，整个一个主打的就是“大”??  1??提前预约?：??提前7天通过微信公众号进行预约，早晨7点左右放票（因为为了防止黄牛抢票，所以每个时间点放的票不会特别多）如果预约不上，持续关注，每天的7点、10点、12点、1点、2点、2点18分这种，都会???可能放??（我是在参观当天的下午2点抢到票，余票充足就去啦） 2??参观路线???♀?：建议是从“历史馆??特展馆??数字馆??民国馆??艺术馆”，不会走回头路。 3??其他：馆内有很多休息区，顶楼还有个咖啡厅。节假日人会比较多，建议租一个讲解的小蜜蜂（??30/个），这样可以知道很多藏品背后的故事，也不至于只是走马观花的一看！ 总之，免费??，而且看到了很多藏品，整个还是很震撼的、很有教育意义！来南京，必定不能错过的景点之一??「南京博物院」   		   ",5,2, , , 
小聿儿,2023-09-0320:57," 需要提前微信小程序预约入馆名额，如果没约到想去的日期可以等当天捡漏，我9/1早上九点不停的刷，刷到小程序9-12点这个时段放出185个名额 非常值得参观，建议安排一天时间，租个导览仪听讲解，文物展品很多   		   ",5,0, , , 
gretzebra,2023-09-0319:38," 今年经常在刷大型博物馆，国博、河南博物院，南博是第三个。最直观的感受是，南博的文物真是主打一个走量模式。文物都是一打一打的堆放一起展出，多到甚至开辟出了一个样品房，展厅放不下就放储物柜了。 这次去见到的镇院之宝是9100g的金兽，围观的人很多，其他镇院之宝都出去外交了。 馆内非常大。分历史馆、艺术馆、特展馆等。历史馆按照朝代顺序梳理，揭秘了从远古到明清近现代，江苏人民的日常生活和历史发展。   		   ",4.5,0, , , 
酸呀酸的小柠檬,2023-09-0317:04," 非常难约的『南京博物院』，有幸约到，今天打卡了。  可以说是非常夸张，预约一票难求，门口一路都是黄牛；里面人山人海，拥挤且无序，基本上是排队拍照走马观花了。第一次遇到这样的博物馆，体验不好，带娃的话辛苦加倍。  三大博物院之一的名声不虚，藏品量很大，而且完整度很好，修复的也很好。按照时间顺序布展，从第一个开始看，按顺序来也不会晕头转向。  因为人太太太太太多的关系，语音导览没有租。如果从非遗馆那里出去，导览需要先回去还掉哦。  三小时基本上能逛完，最近好像都是预约很难的热度，可以过段时间再安排。   		   ",3,0, , , 
Ricky,2023-09-0316:43,旅程中最满意的一站就是南京博物院，馆藏丰富，历史底蕴相当浓厚，几乎在门口就能感受到南京这座文化古城的独特氛围。,5,0, , , 
在百花洲翱翔的沙拉,2023-09-0315:56,南京有很多值的去的地方，除了中山岭，大屠杀，博物院也不错哦，人很多，游玩的很有意义特别适合小孩子学习,4,0, , , 
Candy_婷0122,"2023-09-03
??更新于2023-09-0509:06"," 来南京了必须带孩子来南京博物馆和南京大屠杀遇难同胞纪念馆，带孩子说来就来还没预定到票，然后找了黄牛两个馆70块，需要身份证实名制预约才能进入，很有教育意义的地方，南京博物馆门口也很大气好几个展馆，孩子说之前去西安研学也看到了很多差不多的东西，历史观涨知识的地方很不错，冰箱贴缺货有点小遗憾，期间在南京住了索菲特酒店，五星级内设有点老旧，其他还可以   		   ",4.5,1, , , 
keatingwoo,2023-09-0315:13,"2019年南京博物院
这是第一次带小朋友开启国内旅游?博物馆之路
还是带着他心爱的漫画书
行千里路读万卷书
看上下五千年中国历史",5,1, , , 
黎黎安,2023-09-0313:42," 看了网上评价普遍反映比较难预约，确实有点。 一共约了两天才预约成功，我们去的时候看到门口有些人是当场在大门口拿着手机??蹲抢的，貌似也预约上了。 场馆里面很大，暑假带小朋友去参观的家长很多，如果想静下心来细心欣赏还是等开学以后再来吧。   		   ",3.5,5, , , 
笑傲红叶,2023-09-0313:22," 人很多很多很多很多很多 提前一周进行的预约，进去场馆后找的导游讲解 里面的人实在是太多太多太多了 入场馆也是各种排队，很多地方也都坐满了人 场馆还是挺大的，里面的藏品也非常的棒，还是非常值得去打卡的（前提是先做好心理建设，毕竟人太多）   		   ",4,1, , , 
爱吃巧克力的丘吉尔,2023-09-0310:55," 不得不说，真的是很值得去的博物院！ 先说进入吧，要提前预约，但是超级难约！同行四人，就一个抢到了票，不过可以在淘宝买团啊啥的，顺便可以有个讲解，也是蛮好的。 先入的历史馆，然后去了特展馆，最后是艺术馆，个人喜欢特展馆大于艺术馆大于历史馆。一个原因是特展馆和艺术馆人远远少于历史馆，观展体验感更胜一筹，然后特展馆的展品陈列真的很好，影响深刻的是钟表和佛像展，看到几百年前的工艺之精湛，很震撼！艺术馆震撼力没那么强，没有一定的专业了解有很多东西偏走马观花，但还是很值得看的。最后说历史馆，有部分展品是必看项目，譬如金缕衣，但是好多东西，尤其是原古时代的展品，和别的博物馆没太多差别，因此没那么吸引我，不过也是因人而异的。 总体上，很满意这一次南京博物院之行！博物馆带我们穿梭古今??   		   ",5,2, , , 
HELLO,2023-09-0309:30," 人超级多去南京必须看一下大屠杀纪念馆的首先给预约进门口有菊花可以献给先烈随意捐赠多少钱都可以得到一支。 进去后整体的暗色系压抑感瞬间扑面袭来全程几乎没怎么说话尤其到了万人坑的时候一具具白骨简直就是人间炼狱。 总共分为三个展馆看完全程大概两三个小时吧。   		   ",5,0, , , 
宇心向阳,2023-09-0300:40," 展馆设置很不合理，抢了一个月的票，终于约到了先参观完艺术馆准备再去历史馆，被告知一天只能刷一次身份证入内，我们从艺术馆出口处出来无任何提示和标语，无人告知各展馆是互通的，和工作人员沟通无果互相推诿，态度很强势，口口声声说是规定，怪我们自己预约时不看准，如果就我一个人我无话说，关键好多家长都是带小朋友来打卡，就因为这个原因被你们拒之门外，并且投诉无门，实在拉低南京这座历史名城的在外地游客心中的形象。一个星都不给，但凡设置合理点，工作人员和所谓的领导多重视一下，就不会发生这种令人不愉快的事。   		   ",0.5,0, , , 
Lillian__Lin,2023-09-0222:40," 難得一次來南京，南京博物院當然是必不可少的打卡去處。但網上預約對遊客很不友好，提前預約都沒約到，難得來一次不看實在很遺憾，只能在網上買了高價票。入館整體感受吵雜，人擠人，沒有太大的特色。來之前聽當地人講民國館裡有很多之前國民黨撤離時遺留下來的東西，很值得一看，但來了卻被告知民國館暑假閉關，有點失望。   		   ",3,0, , , 
音漫,"2023-09-02
??更新于2023-09-0816:59"," 提前准备好一个下午吧体力killer 请了个导游满满三个小时的讲解！真的不虚此行！ 见到了上过电视的大报恩寺琉璃塔太震撼了！这色泽这设计不得买个同款冰箱贴带走么！ 这个镇馆之宝刚面世拥有一整个馆真的厉害！文物必须是国家的啊！ 学到了太多知识点了！比如黄羊题凑比如刘邦项羽都是江苏人竹林七贤的特点哦哦哦哦哦我做学生时的记忆在疯狂callback！ 逛博物馆很开心就是废腿下次再来！   		   ",5,0, , , 
M23,2023-09-0221:32," 本次南京之旅就是就是奔着南京博物院和侵华日军南京大屠杀遇难同胞纪念馆来的。网上预约门票也是太难了。 从合肥出发的时候还是晴天，到南京下起了倾盆大雨。 好在下雨天，入馆的人流量相对来说还是没有那么集中的。体验感还是很好的。 中国三大博物院之一，确实很大。陈列展馆也很多。 最让我记忆深刻的就是镇馆之宝之一的金兽了，整体造型屈腰团身，神态警觉，颈部有项圈三道，上有环钮。空腹厚壁，通体锤饰圆形斑纹。浇铸成形，腹内部刻有""黄六""二字。金兽含金量99%，重9100克，是目前我国出土古代黄金铸器中最重的一件，被称为""镇护之宝""。 体验感特别棒的一个博物院了。   		   ",5,9, , , 
chchwww,2023-09-0218:59," 打卡中国三大博物院之一的#南京博物院#??（其他两个“院”是北京故宫博物院和台北故宫博物院） 南博成立于1933年，现有43万余件藏品，分别设立历史馆、艺术馆、特展馆、数字馆、民国馆、非遗馆，一天逛不完 现在民国馆和陈之佛绘画馆因为整修没有开放，很遗憾。另外智能导览器大部分展品不支持自动感应，据服务人员里面数据是更新展品之前导入的，所以80%的展品不能导览，而且pad很沉，不建议花40元租赁。   		   ",5,0, , , 
Eva,2023-09-0216:59," 暑假期间好不容易约到博物院的门票，几乎是秒光。南京博物馆里面有很多不同的馆，走一天都看不完，用了2个小时才看完一个历史馆。服务台还有语音讲解器租借，20元一个。博物院顶楼有就餐的地方，有饮品?餐饮?甜品。总体来说，体验感不错。   		   ",4.5,1, , , 
dashebei,2023-09-0216:06," 赶在威廉莫里斯英国工业艺术运动展最后几天来试了把运气！ 真的，如果一周前没有预约到没有关系，请在去的当天再试试运气，个人总结在开场后一个半小时左右会再放一波名额~~当然，对外地朋友不太友好咯~~ 大喊一声真的好好看啊！！   		   ",5,0, , , 
墨竹芸,2023-09-0216:02," 地址：在南京玄武区中山东路，可以在网上预约参观。南京博物院是国内三大博物院之一。南京博物院占地13万余平方米，分为历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。是中国最早的博物馆。南京博物院拥有各类藏品和珍贵文物，珍贵文物数量居中国第二，馆藏文物青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像等所有文物品类一应俱有，每一品种又自成历史系列，是数千年中华文明历史发展最为直接的见证   		   ",5,0, , , 
小琪爱杰伦,2023-09-0214:51,从陶器到青铜到青釉花瓶，感受历史记忆变迁，文化底蕴深厚，就是人真的太多了,4,0, , , 
xmojf,2023-09-0209:49," 博物院现在成了网红点，公共意义充分体现。在教育意思上，成了其次。以前的博物馆是收费的，为了学习花钱，大家是舍得的。后来推广免费教育，博物院免门票了，再后来为了提高参观体验感，实行了预约。可惜，馆内人声鼎沸，预约一票难求，黄牛明目张胆，这是造就了什么样的教育寓意？试想，挤了几个小时，走马观花，出馆后留下什么样的记忆？探讨，怎样的入馆规则合适真正的参观学习者？   		   ",0.5,0, , , 
贺老太,2023-09-0208:22," 第二日（周二）：博物馆线。白天：打车至中山门，南京博物院-步行中山东路东段（第二历史博物馆、南京航空航天大学、明故宫）-梅园新村纪念馆-六朝博物馆-总统府（看时间情况，去不去江苏省美术馆新\旧馆）-江宁织造博物馆-利济巷慰安所遗址博物馆-南图。 早餐：酒店/估衣廊老南京馄饨（馄饨、小烧麦）；午饭：其他人安排；晚饭：五粮记（利济巷博物馆门口对面） 晚上：夫子庙。科举博物馆（南馆自动隔离人群拍照）-老门东 酒店：国仕达酒店。 酒店-打车、地铁2号线-南京博物院-步行-其他各景点   		   ",5,0, , , 
乌龙小毛,2023-09-0205:58,3个小时根本逛不完！！！！博物院一天应该是看不全的，精品很多，人也很多，里头吃饭的地方只有一个咖啡厅吧，建议带了干粮来！,4.5,0, , , 
MISS-jojo,2023-09-0123:43," 交通： 十分难约的南博还是约上了，可能开学的缘故吧，说实话人也不少。 今天出行依旧地铁，地铁2号明故宫下，3号出口出来步行1公里不到吧。  展览内容： 馆内有5大馆组成，历史，民国，艺术，数字，非遗，馆内之间也是互通的  展览亮点： 小朋友比较习惯民国馆，主要有吃有喝有玩，还可以拍照，数字馆还有一段历史纪录片，说的是刘邦吧，   		   ",4.5,0, , , 
李小丽,2023-09-0122:39," 交通： 出了南京南站直接打车过来大概二十多分钟就到了，周六上午一点也不堵 展览内容： 有历史观、文化馆、数字馆和艺术馆等，还有一个特装展馆。历史观还是挺震撼的，原本以为很庄严肃穆的展品也会有一些俏皮元素在其中。   		   ",4.5,2, , , 
匿名用户,2023-09-0121:15,很棒棒到都没有抢到票暑假人太多了在门口逛了一圈就走了还是很想进去打卡拍照的????,3.5,0, , , 
爱潮水,2023-09-0121:10," 南京博物院位于江苏省南京市玄武区中山东路321号，是中国三大博物馆之一。 博物院内青铜、玉石、陶瓷、金银器皿、竹木牙角、漆器、丝织刺绣、书画、印玺、碑刻造像等所有文物品类一应俱有。每件珍品都令人叹为观止。是数千年中华文明历史发展最为直接的见证。   		   ",4.5,0, , , 
笨崽崽,2023-09-0121:06," 下大雨没地方去就想来看看，人还是一样的多。忘记提前预约，但是当天也会放票的，上午9点20，10点多会放个三次，放票也是一次比一次多，基本看到了都能预约上。下午去的上午也能预约到，民国馆门口排队时间等了蛮久的，里面人也很多，结果进去发现民国馆暂时闭馆了，有点可惜。展览还是挺丰富的，盖章的人也很多。   		   ",4.5,0, , , 
小猪噜噜噜,"2023-09-01
??更新于2023-09-0211:15"," 说真的，暑假去体验感很差人真多特别特别多，人挤人，里面的空调跟没开一样，热的不行。博物馆很大，要好好玩好好看，起码要留一整天。镇馆之宝经常会换，每次展出一个。这次看到了金兽以后有机会再来，附近停车不方便，建议打车或地铁。   		   ",3.5,0, , , 
雨中游曳的鱼,2023-09-0120:36," 展览内容： 非常大的博物馆分了好几个馆最好那个地图历史馆文化馆还有特展馆都很好看对我个人观感来说排列是有些理不清楚的 值得看的宝物很多可以租借智慧导览  tips： 需要提前预约的小程序上一般提前一周预约 人不多的时候也有可能能刷到预约票我是当天中午刷到的下午场   		   ",4.5,0, , , 
风燃望悠,2023-09-0120:29," 来南京一定要打卡的地方，需要提前预约。如果没抢到票不用着急，当天会不定时放票，我就是当天上午临时预约到的。交通非常方便，地铁下来走几分钟就到了。一共分为6个展馆，其中历史馆和特展馆可以好好逛一逛，民国馆其实就是一个弄堂集市，有许多家各式各样的小店，门口拍拍照还是不错的。艺术馆就是个人文人字画，雕刻，书法之类的作品。走走停停差不多3，4个小时就能逛完，还是值得打卡的。   		   ",4.5,1, , , 
匿名用户,2023-09-0119:31," ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????南京博物院，是一座集文化、历史和艺术于一体的博物馆。南京博物院以其丰富多样的藏品而闻名，在这里可以欣赏到许多珍贵文物和艺术品。从古代玉器到明清瓷器、名家书画等等都让人目不暇接。每个展品都蕴含着深厚的历史和文化底蕴，让人不禁为古人的智慧和创造力所折服。  不过，我得提醒大家的是，南京博物院的樱花花期相对较短，所以一定不能错过。每年春天的几个星期内，这里都会成为赏花胜地。当你走进樱花树林中时，仿佛置身于一个粉红色的海洋中，美得令人陶醉。  总而言之，在南京博物院你可以一边欣赏历史文化的瑰宝，一边沉浸在浪漫的樱花世界里。虽然人多些许拥挤，但这并不能掩盖它带给我的惊喜和感动。我强烈推荐大家前往南京博物院游览，并在合适的时间来欣赏那绚丽多彩、如诗如画的樱花景致。   		   ",4,0, , , 
白的白白白,2023-09-0118:03," 门票免费，建议提前一周抢票！！！ 【预约小技巧】微信小程序搜索“南京博物院”??提前添加联系人?? 第一次放票：提前一周晚上6点（17:40可以试试） 第二次放票：每周三晚上9点，放这一周的票 第三次放票：当天早上9:00（第三次很难抢到）  ??值得抢票，很好拍！??   		   ",4.5,1, , , 
